group,kind,sig_i,entry_i,exit_i,reason,entry_fill,exit_px,net_pips,stop_pips,r_mult,lot,pnl_eur
0,BASE,31,32,36,stop,108.795,108.758876,-3.612374417566855,3.612374417566855,-1.0,0.06,-2.234293045425271
0,ADD1,33,34,34,stop,108.847,108.807551,-3.9448534518825795,3.9448534518825795,-1.0,0.03,-1.2184465514040832
1,BASE,111,112,117,stop,108.615,108.508674,-10.632572978771293,10.632572978771293,-1.0,0.02,-2.18329479843999
2,BASE,130,131,179,time,108.686,109.622,93.59999999999928,17.30753317273468,5.408049724119639,0.01,9.582377483443636
2,ADD1,136,137,185,time,109.045,109.478,43.29999999999927,18.379455398839184,2.3558913504441503,0.01,4.4122372955927975
2,ADD2,139,140,140,stop,109.239,109.071627,-16.737340929755362,16.737340929755362,-1.0,0.01,-1.7056473434551591
3,BASE,200,201,223,stop,109.7,109.983466,28.346590049565634,5.740051700058757,4.9383858422870075,0.04,11.491609752451176
3,ADD1,202,203,205,stop,109.9,109.830741,-6.925860904642889,6.925860904642889,-1.0,0.03,-2.103236340301698
3,ADD2,207,208,208,stop,109.931,109.858739,-7.226074092766055,7.226074092766055,-1.0,0.03,-2.19558675865971
4,BASE,272,273,273,stop,110.046,109.983187,-6.281287274228475,6.281287274228475,-1.0,0.03,-1.9111956146850684
5,BASE,288,289,289,stop,110.27,110.199706,-7.029356859452207,7.029356859452207,-1.0,0.03,-2.131678736565331
6,BASE,447,448,463,stop,109.151,109.033715,-11.728537338626666,11.728537338626666,-1.0,0.02,-2.3640141706886197
6,ADD1,454,455,455,stop,109.244,109.141445,-10.25549584973362,10.25549584973362,-1.0,0.01,-1.0356702328225058
7,BASE,504,505,513,stop,109.06,108.933894,-12.610574588188683,12.610574588188683,-1.0,0.01,-1.275882137298193
8,BASE,557,558,606,time,108.823,109.901,107.8000000000003,11.188303331816485,9.63506233277091,0.02,21.895730576418153
8,ADD1,559,560,608,time,108.948,109.945,99.69999999999999,11.473077872841486,8.689908767725267,0.01,10.104871830146282
8,ADD2,561,562,563,stop,109.095,108.976008,-11.899235512807138,11.899235512807138,-1.0,0.01,-1.206945231678264
9,BASE,674,675,685,stop,109.885,109.810309,-7.4691263663950735,7.4691263663950735,-1.0,0.03,-2.225687355851865
10,BASE,704,705,705,stop,110.116,110.039277,-7.67225470852253,7.67225470852253,-1.0,0.03,-2.2851031370572232
11,BASE,782,783,789,stop,109.924,109.877416,-4.658407135956111,4.658407135956111,-1.0,0.05,-2.2963653590262902
12,BASE,816,817,840,stop,109.92,111.116107,119.61065634524743,6.5271096091350955,18.325210316346595,0.03,35.23450685961361
12,ADD1,818,819,840,stop,110.042,111.116107,107.41065634524745,7.418273081346172,14.479199561329166,0.03,31.618305620770762
12,ADD2,823,824,840,stop,110.128,111.116107,98.8106563452476,6.989257391251158,14.137504288929806,0.02,19.367537929073396
13,BASE,847,848,871,stop,111.695,111.790548,9.554842041859501,16.330230250898126,0.5851014893886145,0.01,0.9228867800222351
13,ADD1,849,850,856,stop,111.983,111.811831,-17.116882206131834,17.116882206131834,-1.0,0.01,-1.6476807631677353
13,ADD2,850,851,851,stop,112.166,111.988058,-17.794247762836335,17.794247762836335,-1.0,0.01,-1.716840338942661
14,BASE,1157,1158,1159,stop,104.711,104.162636,-54.836387301165246,54.836387301165246,-1.0,0.01,-5.950837663844839
15,BASE,1214,1215,1223,stop,105.071,104.565295,-50.5705190076327,50.5705190076327,-1.0,0.01,-5.3343381314744756
16,BASE,1232,1233,1248,stop,105.852,106.494,64.19999999999959,49.87340214637328,1.28725928525147,0.01,6.769450226797871
17,BASE,1287,1288,1301,stop,107.418,106.956909,-46.10907261813111,46.10907261813111,-1.0,0.01,-4.703368885037279
18,BASE,1309,1310,1345,stop,107.965,110.134856,216.9856464731808,35.453568948851455,6.120276544971369,0.01,21.909581195802264
18,ADD1,1322,1323,1326,stop,109.077,108.638047,-43.89526810288942,43.89526810288942,-1.0,0.01,-4.3760711216113055
18,ADD2,1331,1332,1345,stop,109.909,110.134856,22.58564647318053,45.922896627519094,0.4918166782111515,0.01,2.212497944407117
19,BASE,1359,1360,1364,stop,111.308,110.842793,-46.52070863148339,46.52070863148339,-1.0,0.01,-4.467382063853242
20,BASE,1384,1385,1391,stop,111.232,110.785886,-44.61141400110478,44.61141400110478,-1.0,0.01,-4.315741770761964
21,BASE,1408,1409,1414,stop,111.488,111.114046,-37.39544113178539,37.39544113178539,-1.0,0.01,-3.617290302545307
22,BASE,1512,1513,1516,stop,108.533,108.209463,-32.35374699583673,32.35374699583673,-1.0,0.01,-3.2864642724117226
23,BASE,1574,1575,1575,stop,107.946,107.689364,-25.663616846458126,25.663616846458126,-1.0,0.01,-2.5829228481864646
24,BASE,1591,1592,1633,stop,108.23,108.864739,63.47393150014966,21.5050553548366,2.9515818700682415,0.01,6.32775212449119
24,ADD1,1593,1594,1596,stop,108.47,108.255839,-21.416093647793844,21.416093647793844,-1.0,0.01,-2.133854629117211
24,ADD2,1596,1597,1600,stop,108.593,108.378419,-21.458147865962474,21.458147865962474,-1.0,0.01,-2.133094128438102
25,BASE,1789,1790,1790,stop,107.847,107.6867,-16.029983964057237,16.029983964057237,-1.0,0.01,-1.6218916130241314
26,BASE,1801,1802,1806,stop,107.9,107.72656,-17.344002258643343,17.344002258643343,-1.0,0.01,-1.750000966033368
27,BASE,1909,1910,1913,stop,107.856,107.728664,-12.733639778882377,12.733639778882377,-1.0,0.01,-1.2820101671356212
28,BASE,1933,1934,1934,stop,107.839,107.688628,-15.037192309601721,15.037192309601721,-1.0,0.01,-1.5080089444219693
29,BASE,2040,2041,2042,stop,106.796,106.669826,-12.617418607965192,12.617418607965192,-1.0,0.01,-1.2839384705355448
30,BASE,2169,2170,2176,stop,106.458,106.337818,-12.018201664194805,12.018201664194805,-1.0,0.02,-2.4369931978057355
30,ADD1,2171,2172,2172,stop,106.6,106.478159,-12.184061639024435,12.184061639024435,-1.0,0.01,-1.2345287623710623
30,ADD2,2173,2174,2175,stop,106.612,106.482102,-12.989828658139402,12.989828658139402,-1.0,0.01,-1.3130382458783505
31,BASE,2196,2197,2197,stop,106.675,106.556905,-11.809529789967144,11.809529789967144,-1.0,0.02,-2.4003177766721313
32,BASE,2208,2209,2210,stop,106.982,106.860883,-12.111718292474905,12.111718292474905,-1.0,0.02,-2.4580203583964604
33,BASE,2297,2298,2310,stop,107.266,107.140339,-12.566093211016494,12.566093211016494,-1.0,0.01,-1.2636993408657642
33,ADD1,2299,2300,2300,stop,107.346,107.221956,-12.404437513581001,12.404437513581001,-1.0,0.02,-2.4986068058927686
33,ADD2,2303,2304,2305,stop,107.363,107.246425,-11.657523943809167,11.657523943809167,-1.0,0.02,-2.3460753365243296
34,BASE,2340,2341,2341,stop,107.458,107.358107,-9.989265006100823,9.989265006100823,-1.0,0.02,-2.014990626049209
35,BASE,2358,2359,2359,stop,107.52,107.419251,-10.074885534974953,10.074885534974953,-1.0,0.02,-2.052718418488059
36,BASE,2448,2449,2480,stop,107.682,107.73103,4.903046533242161,7.877461202191682,0.6224145581165194,0.03,1.4894843460785991
36,ADD1,2451,2452,2452,stop,107.733,107.658112,-7.4888419319293575,7.4888419319293575,-1.0,0.02,-1.5148653097123463
36,ADD2,2455,2456,2458,stop,107.76,107.686659,-7.334092940905634,7.334092940905634,-1.0,0.02,-1.4809781201083227
37,BASE,2509,2510,2513,stop,107.776,107.669158,-10.68418873976782,10.68418873976782,-1.0,0.02,-2.1775984887779685
38,BASE,2603,2604,2617,stop,107.914,108.442115,52.81145952815223,9.522469684357304,5.545983476839664,0.02,10.901296408487957
38,ADD1,2605,2606,2617,stop,108.345,108.442115,9.711459528152488,13.219374370696357,0.7346383615309412,0.01,1.0009229199607557
38,ADD2,2606,2607,2617,stop,108.58,108.442115,-13.788540471847455,14.989419058503017,-0.9198849146875814,0.01,-1.419650574189963
39,BASE,2644,2645,2650,stop,109.03,108.91301,-11.698975366923037,11.698975366923037,-1.0,0.02,-2.406658009790789
40,BASE,2664,2665,2688,stop,109.064,109.531811,46.78106136834259,13.1649383442479,3.5534584473601,0.01,4.860419571542286
40,ADD1,2667,2668,2668,stop,109.218,109.09459,-12.341023885683455,12.341023885683455,-1.0,0.01,-1.282268438420393
40,ADD2,2669,2670,2688,stop,109.286,109.531811,24.58106136834317,12.922617534083258,1.902173557602467,0.01,2.556599446377026
41,BASE,2788,2789,2808,stop,107.148,107.167133,1.9132852351688712,16.836013621639268,0.11364241430107497,0.01,0.20148651819189417
41,ADD1,2792,2793,2808,stop,107.301,107.167133,-13.386714764831709,17.494645071002424,-0.7651892742322817,0.01,-1.4100027098695698
42,BASE,2834,2835,2835,stop,107.627,107.479762,-14.723830825009543,14.723830825009543,-1.0,0.01,-1.5545346230706605
43,BASE,2954,2955,2960,stop,107.175,107.075432,-9.956803422123528,9.956803422123528,-1.0,0.02,-2.0946709278222477
44,BASE,3002,3003,3007,stop,107.205,107.089293,-11.570690672850503,11.570690672850503,-1.0,0.02,-2.426968713852004
45,BASE,3049,3050,3050,stop,107.278,107.187288,-9.071187080165544,9.071187080165544,-1.0,0.02,-1.901674419773099
46,BASE,3086,3087,3087,stop,107.879,107.76008,-11.892024101214815,11.892024101214815,-1.0,0.02,-2.4797393684304936
47,BASE,3096,3097,3097,stop,108.099,107.988952,-11.004794239477178,11.004794239477178,-1.0,0.02,-2.2925651106178204
48,BASE,3168,3169,3174,stop,107.669,107.620252,-4.8748405524577265,4.8748405524577265,-1.0,0.04,-2.0389243148770655
48,ADD1,3170,3171,3172,stop,107.705,107.651094,-5.390551292680357,5.390551292680357,-1.0,0.04,-2.258058616266364
49,BASE,3201,3202,3204,stop,107.744,107.65954,-8.446006414480678,8.446006414480678,-1.0,0.02,-1.768027016593141
50,BASE,3301,3302,3302,stop,107.272,107.197644,-7.4356316233320285,7.4356316233320285,-1.0,0.03,-2.3618967289000246
51,BASE,3312,3313,3313,stop,107.256,107.176451,-7.954866075614575,7.954866075614575,-1.0,0.02,-1.6835236024353573
52,BASE,3377,3378,3388,stop,107.317,107.216919,-10.00812117573986,10.00812117573986,-1.0,0.02,-2.1208428828374473
53,BASE,3408,3409,3412,stop,107.392,107.297661,-9.433938980485834,9.433938980485834,-1.0,0.02,-2.006673134238339
54,BASE,3605,3606,3607,stop,105.286,105.15527,-13.073000566991766,13.073000566991766,-1.0,0.01,-1.461423879018099
55,BASE,3637,3638,3650,stop,105.687,105.811588,12.458812072719638,21.99986698860812,0.566313063582203,0.01,1.3943951308615257
55,ADD1,3648,3649,3649,stop,106.17,105.974955,-19.50452899953632,19.50452899953632,-1.0,0.01,-2.1640452550288587
56,BASE,3754,3755,3756,stop,105.67,105.566335,-10.366515130576204,10.366515130576204,-1.0,0.02,-2.3201327592190912
57,BASE,3778,3779,3780,stop,106.17,106.067038,-10.296205327820473,10.296205327820473,-1.0,0.02,-2.279344621963287
58,BASE,3798,3799,3800,stop,106.176,106.073469,-10.253073704664928,10.253073704664928,-1.0,0.02,-2.2677991225933396
59,BASE,3818,3819,3840,stop,106.722,106.702208,-1.9792221040006552,12.483458273986514,-0.15854758037082003,0.01,-0.21729224732896738
59,ADD1,3823,3824,3840,stop,106.796,106.702208,-9.379222104001883,11.424315153142572,-0.8209876897016334,0.01,-1.0311392345413612
59,ADD2,3824,3825,3829,stop,106.815,106.70256,-11.244006927917383,11.244006927917383,-1.0,0.01,-1.2370429242361516
60,BASE,3858,3859,3870,stop,106.926,106.804892,-12.1107955182012,12.1107955182012,-1.0,0.01,-1.3363987953933587
61,BASE,3954,3955,3972,stop,105.91,105.809812,-10.01883815993665,15.420881840847755,-0.6496929464434485,0.01,-1.1195980327541069
61,ADD1,3956,3957,3968,stop,106.107,105.954565,-15.243515464811708,15.243515464811708,-1.0,0.01,-1.7017565109768715
62,BASE,4032,4033,4033,stop,106.003,105.924521,-7.8478665028583805,7.8478665028583805,-1.0,0.02,-1.7481868154651476
63,BASE,4095,4096,4109,stop,106.422,106.506003,8.400336479778048,16.924234257652415,0.4963495749286131,0.01,0.9309340747853504
63,ADD1,4104,4105,4109,stop,106.662,106.5178,-14.419976819122837,14.419976819122837,-1.0,0.01,-1.5961419356954274
63,ADD2,4106,4107,4109,stop,106.805,106.662062,-14.293755522611207,14.293755522611207,-1.0,0.01,-1.583436699477872
64,BASE,4166,4167,4175,stop,106.015,105.865503,-14.949674238454236,14.949674238454236,-1.0,0.01,-1.6866161714652097
65,BASE,4184,4185,4214,stop,106.2,106.256842,5.684221124782596,11.56638050398442,0.49144337961426043,0.01,0.6353784856286983
65,ADD1,4187,4188,4188,stop,106.282,106.166462,-11.553840367075452,11.553840367075452,-1.0,0.01,-1.290692419990271
65,ADD2,4194,4195,4195,stop,106.305,106.195877,-10.912278060585834,10.912278060585834,-1.0,0.02,-2.4308431348795976
66,BASE,4320,4321,4323,stop,106.191,106.108047,-8.295294185742819,8.295294185742819,-1.0,0.02,-1.8457533572843685
67,BASE,4501,4502,4522,stop,104.605,104.484533,-12.046747954128989,16.107880042527256,-0.7478791698425702,0.01,-1.3544395068661261
67,ADD1,4503,4504,4513,stop,104.707,104.542585,-16.44148840401556,16.44148840401556,-1.0,0.01,-1.8429078041040647
68,BASE,4526,4527,4575,time,104.988,105.419,43.09999999999974,14.431487430914558,2.986525138612714,0.01,4.801803617325054
