entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
32,36,108.75887625582433,stop,31,108.795,-2.7123744175668207,-3.6123744175668207,-0.9999999999998385,3.612374417567404
112,117,108.50867427021228,stop,111,108.615,-9.732572978771259,-10.63257297877126,-1.0000000000000413,10.632572978770819
131,179,109.622,time,130,108.686,94.49999999999932,93.59999999999931,5.408049724119657,17.30753317273463
201,249,109.868,time,200,109.7,17.69999999999925,16.79999999999925,2.926802906640424,5.74005170005909
273,273,109.98318712725772,stop,272,110.046,-5.381287274228441,-6.281287274228442,-1.0000000000000735,6.28128727422798
289,289,110.19970643140547,stop,288,110.27,-6.129356859452173,-7.029356859452173,-0.9999999999999577,7.029356859452471
448,463,109.03371462661373,stop,447,109.151,-10.828537338626631,-11.728537338626632,-0.9999999999999903,11.728537338626746
505,513,108.93389425411812,stop,504,109.06,-11.71057458818865,-12.61057458818865,-0.9999999999999472,12.610574588189316
558,606,109.901,time,557,108.823,108.70000000000033,107.80000000000032,9.635062332771211,11.188303331816138
675,685,109.81030873633605,stop,674,109.885,-6.569126366395039,-7.46912636639504,-1.000000000000071,7.469126366394509
705,705,110.03927745291477,stop,704,110.116,-6.772254708522496,-7.672254708522496,-0.999999999999931,7.672254708523026
783,789,109.87741592864045,stop,782,109.924,-3.7584071359560767,-4.658407135956077,-1.0000000000001117,4.6584071359555566
817,865,112.006,time,816,109.92,209.4999999999999,208.59999999999988,31.95901593380168,6.527109609134511
1158,1159,104.16263612698835,stop,1157,104.711,-53.93638730116521,-54.83638730116521,-1.000000000000004,54.83638730116499
1215,1223,104.56529480992367,stop,1214,105.071,-49.67051900763266,-50.57051900763266,-1.0000000000000122,50.57051900763204
1233,1260,105.35326597853627,stop,1232,105.852,-48.973402146373246,-49.873402146373245,-0.9999999999999972,49.87340214637339
1288,1301,106.9569092738187,stop,1287,107.418,-45.209072618131074,-46.10907261813107,-1.0000000000000147,46.1090726181304
1310,1358,110.892,time,1309,107.965,293.5999999999993,292.6999999999993,8.255868412634843,35.45356894885207
1360,1364,110.84279291368517,stop,1359,111.308,-45.62070863148335,-46.52070863148335,-1.0000000000000084,46.52070863148296
1385,1391,110.78588585998895,stop,1384,111.232,-43.71141400110474,-44.61141400110474,-0.9999999999999931,44.61141400110505
1409,1414,111.11404558868215,stop,1408,111.488,-36.495441131785356,-37.395441131785354,-1.000000000000006,37.39544113178513
1513,1516,108.20946253004163,stop,1512,108.533,-31.453746995836696,-32.353746995836694,-1.0000000000000049,32.35374699583654
1575,1575,107.68936383153542,stop,1574,107.946,-24.763616846458092,-25.66361684645809,-0.9999999999999813,25.66361684645857
1592,1640,108.872,time,1591,108.23,65.09999999999962,64.19999999999962,2.9853445592530816,21.505055354837214
1790,1790,107.68670016035942,stop,1789,107.847,-15.129983964057203,-16.0299839640572,-0.999999999999999,16.029983964057216
1802,1806,107.72655997741357,stop,1801,107.9,-16.44400225864331,-17.344002258643307,-1.0000000000000226,17.344002258642917
1910,1913,107.72866360221117,stop,1909,107.856,-11.833639778882343,-12.733639778882344,-1.000000000000033,12.733639778881923
1934,1934,107.68862807690398,stop,1933,107.839,-14.137192309601687,-15.037192309601688,-0.999999999999964,15.03719230960223
2041,2042,106.66982581392035,stop,2040,106.796,-11.717418607965158,-12.617418607965158,-0.9999999999999439,12.617418607965867
2170,2176,106.33781798335805,stop,2169,106.458,-11.118201664194771,-12.018201664194772,-0.9999999999999999,12.018201664194773
2197,2197,106.55690470210033,stop,2196,106.675,-10.90952978996711,-11.80952978996711,-0.9999999999999388,11.809529789967833
2209,2210,106.86088281707525,stop,2208,106.982,-11.21171829247487,-12.11171829247487,-1.0000000000000366,12.111718292474428
2298,2310,107.14033906788984,stop,2297,107.266,-11.66609321101646,-12.56609321101646,-1.0000000000000193,12.566093211016218
2341,2341,107.35810734993899,stop,2340,107.458,-9.089265006100788,-9.989265006100789,-0.9999999999999891,9.989265006100897
2359,2359,107.41925114465025,stop,2358,107.52,-9.17488553497492,-10.07488553497492,-0.9999999999999902,10.074885534975019
2449,2483,107.60322538797809,stop,2448,107.682,-6.977461202191648,-7.877461202191649,-1.00000000000002,7.877461202191492
2510,2513,107.66915811260232,stop,2509,107.776,-9.784188739767785,-10.684188739767785,-1.000000000000059,10.684188739767155
2604,2652,108.719,time,2603,107.914,81.3999999999993,80.49999999999929,8.453689291574912,9.522469684357448
2665,2701,108.93235061655753,stop,2664,109.06400000000001,-12.264938344247867,-13.164938344247867,-0.9999999999999593,13.164938344248403
2789,2837,107.494,time,2788,107.148,35.5000000000004,34.6000000000004,2.055118318241818,16.83601362163964
2955,2960,107.07543196577876,stop,2954,107.175,-9.056803422123494,-9.956803422123494,-1.0000000000000115,9.956803422123379
